BaseDateTime,LAT,LON,IMO
2023-01-10T00:00:01,28.81389,-91.7396,IMO9688582
2023-01-10T00:00:01,39.10648,-124.19613,IMO9690896
2023-01-10T00:00:02,48.76136,-122.82245,IMO8516433
2023-01-10T00:00:02,38.4174,-74.37388,IMO9298636
2023-01-10T00:00:02,41.53332,-71.35097,IMO9471082
2023-01-10T00:00:02,21.32853,-158.11834,IMO9664718
2023-01-10T00:00:03,47.65924,-122.37867,IMO8030788
2023-01-10T00:00:03,41.61262,-71.4047,IMO8218914
2023-01-10T00:00:03,45.54753,-122.69722,IMO8652964
2023-01-10T00:00:03,26.06113,-80.13042,IMO9521045
2023-01-10T00:00:03,42.5896,-73.75943,IMO9653238
2023-01-10T00:00:04,47.66367,-122.3906,IMO8124230
2023-01-10T00:00:04,28.25361,-85.16223,IMO9395707
2023-01-10T00:00:04,49.17788,-123.85932,IMO9900605
2023-01-10T00:00:05,29.573,-90.57824,IMO101269035
2023-01-10T00:00:05,29.32566,-117.82507,IMO8987876
2023-01-10T00:00:05,18.06747,-68.42136,IMO9338278
2023-01-10T00:00:05,18.0014,-68.50248,IMO9410260
2023-01-10T00:00:07,47.66573,-122.39177,IMO7043221
2023-01-10T00:00:07,29.13617,-94.43533,IMO9167227
2023-01-10T00:00:07,26.09803,-80.16401,IMO9693343
2023-01-10T00:00:07,29.68446,-94.98413,IMO9752278
